timestamp_4h,fcr_price_eur_mw_4h,afrr_pos_price_eur_mw_4h,allocated_market,coopt_rev_eur
2026-08-14 00:00:00,55.34,29.16,FCR,553.4000000000001
2026-08-14 04:00:00,75.36,52.6,FCR,753.6
2026-08-14 08:00:00,96.26,65.36,FCR,962.6
2026-08-14 12:00:00,68.81,74.25,aFRR,853.8749999999999
2026-08-14 16:00:00,56.15,47.83,FCR,561.5
2026-08-14 20:00:00,39.45,44.52,aFRR,511.98
2026-08-15 00:00:00,49.79,44.96,aFRR,517.04
2026-08-15 04:00:00,71.29,33.42,FCR,712.9000000000001
2026-08-15 08:00:00,87.67,72.53,FCR,876.7
2026-08-15 12:00:00,69.26,78.77,aFRR,905.8549999999999
2026-08-15 16:00:00,70.07,55.29,FCR,700.6999999999999
2026-08-15 20:00:00,34.26,45.27,aFRR,520.605
2026-08-16 00:00:00,52.76,47.08,aFRR,541.42
2026-08-16 04:00:00,69.72,24.58,FCR,697.2
2026-08-16 08:00:00,102.36,55.03,FCR,1023.6
2026-08-16 12:00:00,77.36,63.18,FCR,773.6
2026-08-16 16:00:00,67.38,47.48,FCR,673.8
2026-08-16 20:00:00,27.17,42.19,aFRR,485.18499999999995
2026-08-17 00:00:00,58.2,62.98,aFRR,724.2699999999999
2026-08-17 04:00:00,85.68,51.41,FCR,856.8000000000001
2026-08-17 08:00:00,85.99,51.79,FCR,859.9
2026-08-17 12:00:00,87.79,75.73,FCR,877.9000000000001
2026-08-17 16:00:00,48.79,71.49,aFRR,822.1349999999999
2026-08-17 20:00:00,61.91,54.25,aFRR,623.875
2026-08-18 00:00:00,82.59,45.6,FCR,825.9000000000001
2026-08-18 04:00:00,70.65,38.53,FCR,706.5
2026-08-18 08:00:00,79.65,64.48,FCR,796.5
2026-08-18 12:00:00,92.44,73.93,FCR,924.4
2026-08-18 16:00:00,73.95,66.45,aFRR,764.175
2026-08-18 20:00:00,38.73,51.35,aFRR,590.525
2026-08-19 00:00:00,49.96,55.5,aFRR,638.25
2026-08-19 04:00:00,71.62,39.65,FCR,716.2
2026-08-19 08:00:00,68.87,70.67,aFRR,812.705
2026-08-19 12:00:00,63.98,71.98,aFRR,827.77
2026-08-19 16:00:00,42.95,78.25,aFRR,899.8749999999999
2026-08-19 20:00:00,35.79,38.11,aFRR,438.265
2026-08-20 00:00:00,54.58,62.36,aFRR,717.14
2026-08-20 04:00:00,77.81,46.98,FCR,778.1
2026-08-20 08:00:00,103.61,50.99,FCR,1036.1
2026-08-20 12:00:00,63.02,65.16,aFRR,749.3399999999998
2026-08-20 16:00:00,66.81,54.3,FCR,668.1
2026-08-20 20:00:00,42.43,49.24,aFRR,566.26
2026-08-21 00:00:00,54.41,50.23,aFRR,577.6449999999999
2026-08-21 04:00:00,83.1,39.26,FCR,831.0
2026-08-21 08:00:00,71.53,57.26,FCR,715.3
2026-08-21 12:00:00,79.59,91.42,aFRR,1051.33
2026-08-21 16:00:00,57.0,74.78,aFRR,859.9699999999999
2026-08-21 20:00:00,50.91,49.36,aFRR,567.64
2026-08-22 00:00:00,58.47,45.38,FCR,584.7
2026-08-22 04:00:00,104.46,46.2,FCR,1044.6
2026-08-22 08:00:00,77.35,63.64,FCR,773.5
2026-08-22 12:00:00,68.63,59.77,aFRR,687.355
2026-08-22 16:00:00,47.52,54.93,aFRR,631.6949999999999
2026-08-22 20:00:00,38.33,28.31,FCR,383.29999999999995
2026-08-23 00:00:00,47.35,48.99,aFRR,563.385
2026-08-23 04:00:00,89.27,51.47,FCR,892.6999999999999
2026-08-23 08:00:00,102.05,52.67,FCR,1020.5
2026-08-23 12:00:00,68.15,85.74,aFRR,986.0099999999999
2026-08-23 16:00:00,45.01,45.24,aFRR,520.26
2026-08-23 20:00:00,50.66,30.36,FCR,506.59999999999997
2026-08-24 00:00:00,48.37,47.24,aFRR,543.26
2026-08-24 04:00:00,82.6,55.47,FCR,826.0
2026-08-24 08:00:00,87.44,74.34,FCR,874.4
2026-08-24 12:00:00,56.81,65.41,aFRR,752.2149999999998
2026-08-24 16:00:00,73.57,68.29,aFRR,785.335
2026-08-24 20:00:00,66.55,44.61,FCR,665.5
2026-08-25 00:00:00,47.65,43.27,aFRR,497.605
2026-08-25 04:00:00,70.35,53.84,FCR,703.5
2026-08-25 08:00:00,88.43,64.02,FCR,884.3000000000001
2026-08-25 12:00:00,79.01,54.24,FCR,790.1
2026-08-25 16:00:00,62.9,72.27,aFRR,831.1049999999999
2026-08-25 20:00:00,69.12,58.8,FCR,691.2
2026-08-26 00:00:00,52.88,38.74,FCR,528.8000000000001
2026-08-26 04:00:00,65.42,48.96,FCR,654.2
2026-08-26 08:00:00,68.45,62.44,aFRR,718.06
2026-08-26 12:00:00,66.23,72.61,aFRR,835.015
2026-08-26 16:00:00,54.6,52.0,aFRR,598.0
2026-08-26 20:00:00,66.53,38.28,FCR,665.3
2026-08-27 00:00:00,48.79,44.74,aFRR,514.51
2026-08-27 04:00:00,77.69,56.73,FCR,776.9
2026-08-27 08:00:00,84.8,62.94,FCR,848.0
2026-08-27 12:00:00,89.26,66.29,FCR,892.6
2026-08-27 16:00:00,85.32,65.22,FCR,853.1999999999999
2026-08-27 20:00:00,38.63,16.51,FCR,386.3
2026-08-28 00:00:00,49.13,56.49,aFRR,649.6349999999999
2026-08-28 04:00:00,87.53,27.6,FCR,875.3
2026-08-28 08:00:00,93.18,53.88,FCR,931.8000000000001
2026-08-28 12:00:00,97.16,58.8,FCR,971.5999999999999
2026-08-28 16:00:00,62.01,44.55,FCR,620.1
2026-08-28 20:00:00,40.69,56.61,aFRR,651.015
2026-08-29 00:00:00,62.09,40.32,FCR,620.9000000000001
2026-08-29 04:00:00,88.3,48.47,FCR,883.0
2026-08-29 08:00:00,94.85,57.03,FCR,948.5
2026-08-29 12:00:00,81.09,74.77,aFRR,859.8549999999999
2026-08-29 16:00:00,67.8,58.27,FCR,678.0
2026-08-29 20:00:00,59.03,32.17,FCR,590.3
2026-08-30 00:00:00,71.59,54.96,FCR,715.9000000000001
2026-08-30 04:00:00,82.78,40.06,FCR,827.8
2026-08-30 08:00:00,82.99,41.93,FCR,829.9
2026-08-30 12:00:00,76.76,65.72,FCR,767.6
2026-08-30 16:00:00,69.48,72.51,aFRR,833.865
2026-08-30 20:00:00,35.2,53.5,aFRR,615.25
